ProgramCode,ReportType,TileName,TileId,Status
PP,TOPBONUS,TopBonuses,KpiTopBonusId,A
PP,TOTALCUSTOMERS,TotalCustomers,KpiTotalCustomersId,A
PP,MONTHENROLLMENTS,CurrentMonthEnrollments,KpiMonthlyEnrollmentsId,A
PP,MONTHTRANSACTIONS,CurrentMonthTransactions,KpiMonthlyTransactionsId,A
PP,MONTHPOINTS,CurrentMonthPoints,KpiMonthlyPointsId,A
PP,DAILYPROGRAMSUMMARY,DailyProgramSummary,KpiSummaryReportId,A
PP,TOPREWARDCATEGORY,TopRewardCategory,KpiTopRewardCategoryId,A
PP,CURRENTCERTIFICATES,CurrentCertificates,KpiCurrentCertificatesId,A
PP,TOPREWARDSISSUED,RewardsIssued,KpiReportsRewardsIssuedId,A
PP,CERTREDEMPTIONRATE,CertRedemption,KpiCertRedemptionId,A
PP,CERTIFICATESTATUS,CertificateStatus,KpiCertificateStatusId,A
PP,AVGTRANSAMT,AvgTransactionAmt,KpiReportsAvgTransactionAmtId,A
PP,CUSTOMERBASE,CustomerBase,KpiCustomerBaseId,A
PP,TIERDISTRIBUTION,TierDistribution,KpiReportsTierDistributionId,A
