ProgramCode,PostingKeyCode,PostingKeyName,PostingKeyDescription,PostingKeyMaxLength,IsSystemGenerated,IsSecure,IsShared
PP,PK1239,Posting Key 1239,Posting Key 1239,36,FALSE,FALSE,FALSE
PP,PK2239,Posting Key 2239,Posting Key 2239,36,FALSE,FALSE,FALSE
PP,PK3239,Posting Key 3239,Posting Key 3239,36,FALSE,FALSE,FALSE
PP,PK4239,Posting Key 4239,Posting Key 4239,36,FALSE,FALSE,TRUE
PP,REWARDSCREDITCARD,Rewards Credit Card,Secure Posting Key (Rewards),36,FALSE,TRUE,FALSE
PP,TRAVELCREDITCARD,Travel Credit Card,Secure Posting Key (Travel),36,FALSE,TRUE,FALSE
FR,FR1239,Posting Key FR1239,Posting Key 1239,36,FALSE,FALSE,FALSE
FR,FR2239,Posting Key FR2239,Posting Key 2239,36,FALSE,FALSE,FALSE
FR,FR3239,Posting Key FR3239,Posting Key 3239,36,FALSE,FALSE,FALSE
FR,FR4239,Posting Key FR4239,Posting Key 4239,36,FALSE,FALSE,TRUE
IR,IR1239,Posting Key IR1239,Posting Key 1239,36,FALSE,FALSE,FALSE
IR,IR2239,Posting Key IR2239,Posting Key 2239,36,FALSE,FALSE,FALSE
IR,IR3239,Posting Key IR3239,Posting Key 3239,36,FALSE,FALSE,FALSE
IR,IR4239,Posting Key IR4239,Posting Key 4239,36,FALSE,FALSE,TRUE
RGRJOBS,PK1239,Posting Key RGR1239,Posting Key 1239,36,FALSE,FALSE,FALSE
PWP,PK1122,Posting Key RGR1239,Posting Key 1239,36,FALSE,FALSE,FALSE
PWPRWD,PK1133,Posting Key RGR1239,Posting Key 1239,36,FALSE,FALSE,FALSE
EB,PK1188,Posting Key RGR1239,Posting Key 1239,36,FALSE,FALSE,FALSE
