EntityName,AttributeName,AttributeValue,UpdateAttributeValue,IsInvalidAttribute
REWARD,Title,Testfilm PP,Testfilm PP aktualisiert,N
REWARD,Description,Automatisierung,Automatisierung aktualisiert,N
REWARD,RewardName,Automatisierung,Automatisierung aktualisiert,Y
REWARD_CATEGORY,CategoryName,Kleidung,Kleidung aktualisiert,N
REWARD_CATEGORY,CategoryDescription,Kleidung,Kleidung aktualisiert,N
REWARD_CATEGORY,RewardCategoryName,Kleidung,Kleidung aktualisiert,Y
SURVEY_CATEGORY,CategoryDescription,Verteiler,Verteiler aktualisiert,N
SURVEY_CATEGORY,SurveyCategoryName,Verteiler,Verteiler aktualisiert,Y
CONFIG_PARAMETER_CATEGORY,Description,German,German German,N
CONFIG_PARAMETER_CATEGORY,SurveyCategoryName,Verteiler,Verteiler aktualisiert,Y
AFFILIATION,AffiliationDescription,American Airlines,American Airlines aktualisiert,N
AFFILIATION,AffiliationName,American Airlines,American Airlines aktualisiert,Y
AFFILIATION_TYPE,AffiliationTypeDescription,Reise,Reise aktualisiert,N
AFFILIATION_TYPE,AffiliationTypeName,Reise,Reise aktualisiert,Y
AUCTION,AuctionName,Prinzessin Jeff Signed Dress,Prinzessin Jeff Signed Dress aktualisiert,N
AUCTION,Description,Prinzessin Jeff Signed Dressgg,Prinzessin Jeff Signed Dressgg aktualisiert,N
AUCTION,TermsAndCondition,Prinzessin Jeff Signed Dressgg,Prinzessin Jeff Signed Dressgg aktualisiert,N
AUCTION,Rules,Prinzessin Jeff Signed Dressgg,Prinzessin Jeff Signed Dressgg aktualisiert,N
AUCTION,AuctionDescription,Prinzessin Jeff Signed Dressgg,Prinzessin Jeff Signed Dressgg aktualisiert,Y
SURVEY_QUESTION,QuestionDescription,Was ist deine Lieblings-Kameramarke?, Was ist deine neue Lieblings-Kameramarke?,N
SURVEY_QUESTION,QuestionName,Was ist deine Lieblings-Kameramarke?, Was ist deine neue Lieblings-Kameramarke?,Y
SURVEY_TYPE,SurveyTypeDescription,Verteiler,Verteiler aktualisiert,N
SURVEY_TYPE,SurveyName,Verteiler,Verteiler aktualisiert,Y
SYSTEM_OFFER,OfferName,10 Bonuseier,10 Bonuseier aktualisiert,N
