NotUsed,Level1Description,Level1Code,Level2Code,Level2Description,SKU,UPC,CustomProductCode,ProductDescription,ExcludeFromBaseInd,BrandCode,BrandDescription,ChainName,Level1Image,Level2Image,ProductImage,Level1ImageSmall,Level2ImageSmall,ProductImageSmall,Level1ImageLarge,Level2ImageLarge,ProductImageLarge,ProductLongDescription
,Sides,SIDES,BAKEDPOTATO,Baked Potatoes,SKU-00070,UPC-00070,PC-00070,Bacon Cheese Baked Potato,N,,,CHICKEN-SHACK,Sides.png,BakedPotato.jpg,BaconPotato.png,Sides.png,BakedPotato.jpg,BaconPotato.png,Sides.png,BakedPotato.jpg,BaconPotato.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,BAKEDPOTATO,Baked Potatoes,SKU-00069,UPC-00069,PC-00069,Broccoli Cheese Baked Potato,N,,,CHICKEN-SHACK,Sides.png,BakedPotato.jpg,BroccoliPotato.png,Sides.png,BakedPotato.jpg,BroccoliPotato.png,Sides.png,BakedPotato.jpg,BroccoliPotato.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,BAKEDPOTATO,Baked Potatoes,SKU-00068,UPC-00068,PC-00068,Sour Cream and Chive Baked Potato,N,,,CHICKEN-SHACK,Sides.png,BakedPotato.jpg,SourPotato.png,Sides.png,BakedPotato.jpg,SourPotato.png,Sides.png,BakedPotato.jpg,SourPotato.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,FRIES,Fries,SKU-00067,UPC-00067,PC-00067,Butternut Squash French Fries,N,,,CHICKEN-SHACK,Sides.png,Sides.png,ButternutFries.jpg,Sides.png,Sides.png,ButternutFries.jpg,Sides.png,Sides.png,ButternutFries.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,FRIES,Fries,SKU-00066,UPC-00066,PC-00066,Cheesy French Fries,N,,,CHICKEN-SHACK,Sides.png,Sides.png,CheesyFries.jpg,Sides.png,Sides.png,CheesyFries.jpg,Sides.png,Sides.png,CheesyFries.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,FRIES,Fries,SKU-00065,UPC-00065,PC-00065,Homemade French Fries,N,,,CHICKEN-SHACK,Sides.png,Sides.png,HomemadeFries.jpg,Sides.png,Sides.png,HomemadeFries.jpg,Sides.png,Sides.png,HomemadeFries.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,FRIES,Fries,SKU-00064,UPC-00064,PC-00064,French Fries,N,,,CHICKEN-SHACK,Sides.png,Sides.png,FrenchFries.jpg,Sides.png,Sides.png,FrenchFries.jpg,Sides.png,Sides.png,FrenchFries.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,PASTAS,Pastas,SKU-00063,UPC-00063,PC-00063,Smoked Salmon Pasta,N,,,CHICKEN-SHACK,Sides.png,Pastas.jpeg,SalmonPasta.jpg,Sides.png,Pastas.jpeg,SalmonPasta.jpg,Sides.png,Pastas.jpeg,SalmonPasta.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,PASTAS,Pastas,SKU-00061,UPC-00061,PC-00061,Spaghetti Meatballs,N,,,CHICKEN-SHACK,Sides.png,Pastas.jpeg,SpaghettiMeatballs.png,Sides.png,Pastas.jpeg,SpaghettiMeatballs.png,Sides.png,Pastas.jpeg,SpaghettiMeatballs.png,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
,Sides,SIDES,PASTAS,Pastas,SKU-00062,UPC-00062,PC-00062,Shrimp Pasta,N,,,CHICKEN-SHACK,Sides.png,Pastas.jpeg,ShrimpPasta.jpg,Sides.png,Pastas.jpeg,ShrimpPasta.jpg,Sides.png,Pastas.jpeg,ShrimpPasta.jpg,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ut molestie ullamcorper nulla at pulvinar. Aenean vel orci in nisi ultricies iaculis. Duis consectetur fringilla quam, ut pulvinar turpis scelerisque at. In hac habitasse platea dictumst. Duis id feugiat justo, eget malesuada enim. Sed tincidunt magna sed ipsum gravida posuere. Sed ultrices elit non ante ultricies, tristique tristique ante posuere. Integer volutpat tortor mi, eu tincidunt tortor commodo vitae. Nullam a magna elit. Suspendisse potenti. Mauris laoreet arcu eget ante faucibus suscipit id eget nunc. Vivamus magna orci, varius ornare orci vitae, maximus finibus arcu. Integer sollicitudin risus arcu, sit amet dapibus ante vulputate et. Donec venenatis, nibh non feugiat sodales, magna nisi tincidunt justo, ut tempor arcu leo nec orci. Etiam iaculis, quam et volutpat placerat, leo tellus condimentum est, quis egestas orci magna vel dolor. Sed laoreet neque et risus sollicitudin, id faucibus sapien aliquam."
