PointTypeCode,ProgramCode,RewardCode,CategoryCode,StartDate,EndDate,RewardType,MinValue,MaxValue,RewardUsageTypeId,CurrencyCode,Title,Manufacturer,ImageName,ProgramCost,RetailPrice,FixedPoints,ShippingInfoRequired,DisplayInCatalog,ProgramCostPerPoint,RetailPricePerPoint,DaysValid,CertificateInd,Description,BurnRatioDollarValue,BurnRatioPointValue
EGGS,PP,PPJEFFDRESS,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Jeff Dress,Jeff,,4500,4500,null,true,false,null,null,null,false,Jeff Dress,null,null
EGGS,PP,PPKURIOS-PTS,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,, About Kurios Ticket by Cirque du Soleil,Cirque du Soleil,,150,1500,null,true,false,null,null,null,false, About Kurios Ticket by Cirque du Soleil,null,null
EGGS,PP,PPMUSICAL-PTS,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,American in Paris Broadway Musical Ticket,NEW YORK BROADWAY,,2000,250,null,true,false,null,null,null,false,AMERICAN IN PARIS BROADWAY MUSICAL TICKET,null,null
EGGS,PP,PPRWD56,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Endless Pizza,PIZZAS INC,,500,500,null,true,false,null,null,null,false,Pizza for life,null,null
EGGS,PP,PPSCPP7,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Antique Stagecoach,Wells Fargo,,1,20,null,true,false,null,null,null,false,Wells Fargo Overland Stagecoach used for 12 months from June PP0 to June PP2,null,null
EGGS,PP,PPWFSPP7,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Real Antique Stagecoach,Wells Fargo,,1,100,null,true,false,null,null,null,false,real stagecoach,null,null
EGGS,PP,PPAVAT6555,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Avatar,HOLLYWOOD MOVIES INC,,1,1,null,true,false,null,null,null,false,BUY THE CD OF AVATAR MOVIE,null,null
EGGS,PP,PPCNCN4,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Flight to Cancun,FLIGHTS INC,,350,35,null,true,false,null,null,null,false,All expenses flight to cancun for two.,null,null
EGGS,PP,PPIRE45,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Flight to Ireland,FLIGHTS INC,,400,400,null,true,false,null,null,null,false,flight for two to ireland,null,null
EGGS,PP,PPRC1PP56,PPTOYS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,IPHONE AUCTION,APPLE,,1,400,null,true,false,null,null,null,false,IPHONE AUTCTION FOR 5 model,null,null
POINTS,FR,FRJEFFDRESS,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Jeff Dress,Jeff,,1300,1300,null,true,false,null,null,null,false,Jeff Dress,null,null
POINTS,FR,FRKURIOS-PTS,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,, About Kurios Ticket by Cirque du Soleil,Cirque du Soleil,,150,1500,null,true,false,null,null,null,false, About Kurios Ticket by Cirque du Soleil,null,null
POINTS,FR,FRMUSICAL-PTS,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,American in Paris Broadway Musical Ticket,NEW YORK BROADWAY,,1500,250,null,true,false,null,null,null,false,AMERICAN IN PARIS BROADWAY MUSICAL TICKET,null,null
POINTS,FR,FRRWD56,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Endless Pizza,PIZZAS INC,,500,500,null,true,false,null,null,null,false,Pizza for life,null,null
POINTS,FR,FRSCFR7,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Antique Stagecoach,Wells Fargo,,1,20,null,true,false,null,null,null,false,Wells Fargo Overland Stagecoach used for 12 months from June FR0 to June FR2,null,null
POINTS,FR,FRWFSFR7,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Real Antique Stagecoach,Wells Fargo,,1,100,null,true,false,null,null,null,false,real stagecoach,null,null
POINTS,FR,FRAVAT6555,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Avatar,HOLLYWOOD MOVIES INC,,1,1,null,true,false,null,null,null,false,BUY THE CD OF AVATAR MOVIE,null,null
POINTS,FR,FRCNCN4,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Flight to Cancun,FLIGHTS INC,,1500,2400,null,true,false,null,null,null,false,All expenses flight to cancun for two.,null,null
POINTS,FR,FRIRE45,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,Flight to Ireland,FLIGHTS INC,,400,400,null,true,false,null,null,null,false,flight for two to ireland,null,null
POINTS,FR,FRRC1FR56,FRCERTS,null,null,U,,,7b821241-d5cf-f42a-e053-5ca8e70ada3b,,IPHONE AUCTION,AFRLE,,1,400,null,true,false,null,null,null,false,IPHONE AUTCTION FOR 5 model,null,null

