ChainName,FranchiseCode,ChainPriority,StoreCode,StoreName,StoreType,AddressLine1,AddressLine2,City,StateCode,PostalCode,CountryCode,ManagerFirstName,ManagerLastName,ManagerEmailAddr,GeofenceRadius,Latitude,Longitude,WrongAddressLine1
CHICKEN-SHACK,PP1500,1,PP15001,Poultry Perks North Region,CORP,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,3239 N Haakell Ave
CHICKEN-SHACK,PP1500,2,PP1501,Poultry Perks South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1501,3,PP1502,Poultry Perks East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1501,4,PP1503,Poultry Perks West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1502,5,PP1504,Poultry Perks North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1502,6,PP1505,Poultry Perks South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1503,7,PP1506,Poultry Perks East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1503,8,PP1507,Poultry Perks West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1504,9,PP1508,Poultry Perks North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1504,10,PP1509,Poultry Perks South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1505,11,PP1510,Poultry Perks East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1505,12,PP1511,Poultry Perks West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1506,13,PP1512,Poultry Perks North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1506,14,PP1513,Poultry Perks South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1507,15,PP1514,Poultry Perks East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1507,16,PP1515,Poultry Perks West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1508,17,PP1516,Poultry Perks North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1509,18,PP1517,Poultry Perks South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1510,19,PP1518,Poultry Perks East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,PP1511,20,PP1519,Poultry Perks West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,,21,PP1520,Poultry Perks North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,,22,PP1521,Poultry Perks South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,,23,PP1522,Poultry Perks East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
CHICKEN-SHACK,,24,PP1523,Poultry Perks West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1500,1,FR1500,Fall River North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1500,2,FR1501,Fall River South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1501,3,FR1502,Fall River East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1501,4,FR1503,Fall River West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1502,5,FR1504,Fall River North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1502,6,FR1505,Fall River South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1503,7,FR1506,Fall River East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1503,8,FR1507,Fall River West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1504,9,FR1508,Fall River North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1504,10,FR1509,Fall River South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1505,11,FR1510,Fall River East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1505,12,FR1511,Fall River West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1506,13,FR1512,Fall River North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1506,14,FR1513,Fall River South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1507,15,FR1514,Fall River East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1507,16,FR1515,Fall River West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1508,17,FR1516,Fall River North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1509,18,FR1517,Fall River South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1510,19,FR1518,Fall River East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,FR1511,20,FR1519,Fall River West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,,21,FR1520,Fall River North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,,22,FR1521,Fall River South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,,23,FR1522,Fall River East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
FALL_RIVER,,24,FR1523,Fall River West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,1,IR1500,Iris Fashion North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,2,IR1501,Iris Fashion South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,3,IR1502,Iris Fashion East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,4,IR1503,Iris Fashion West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,5,IR1504,Iris Fashion North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,6,IR1505,Iris Fashion South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,7,IR1506,Iris Fashion East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,8,IR1507,Iris Fashion West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,9,IR1508,Iris Fashion North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,10,IR1509,Iris Fashion South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,11,IR1510,Iris Fashion East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,12,IR1511,Iris Fashion West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,13,IR1512,Iris Fashion North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,14,IR1513,Iris Fashion South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,15,IR1514,Iris Fashion East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,16,IR1515,Iris Fashion West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,17,IR1516,Iris Fashion North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,18,IR1517,Iris Fashion South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,19,IR1518,Iris Fashion East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,20,IR1519,Iris Fashion West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,21,IR1520,Iris Fashion North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,22,IR1521,Iris Fashion South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,23,IR1522,Iris Fashion East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,24,IR1523,Iris Fashion West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
IRIS_FASHION,,25,IR1524,Iris Fashion West Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,1,GR1500,Gratis Hotel West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,2,GR1501,Gratis Hotel West Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,3,GR1502,Gratis Hotel East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,4,GR1503,Gratis Hotel West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,5,GR1504,Gratis Hotel North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,6,GR1505,Gratis Hotel South Region,RTL,3601 S Marsalis Ave,,Dallas,TX,239239,USA,John,Elway,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,7,GR1506,Gratis Hotel East Region,RTL,239 S Glasgow Dr,,Dallas,TX,239239,USA,Dan,Marino,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,8,GR1507,Gratis Hotel West Region,RTL,2392 Dennison St,,Dallas,TX,239239,USA,Troy,Aikman,Test@dx2mail.co,0.23941,32.810601,-96.796101,
GRATIS_HOTEL,,9,GR1508,Gratis Hotel North Region,RTL,3239 N Haskell Ave,,Dallas,TX,239239,USA,John,Smith,Test@dx2mail.co,0.23941,32.810601,-96.796101,
